horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
10,nonlinear,8,3,-0.00028463044335802663,0.20481714731439166,0.6666666666666666
10,nonlinear,9,3,-0.0014766228190538216,-0.09675317918761839,0.3333333333333333
15,baseline,0,1,0.0,0.0,0.0
15,baseline,1,4,0.0,0.0,0.0
15,baseline,2,5,0.0,0.0,0.4
15,baseline,3,1,0.0,0.0,1.0
15,baseline,5,1,0.0,0.0,1.0
15,baseline,7,1,0.0,0.0,0.0
15,baseline,8,2,0.0,0.0,0.0
15,baseline,9,6,0.0,0.0,0.6666666666666666
15,baseline,10,5,0.0,0.0,0.2
15,baseline,11,1,0.0,0.0,0.0
15,baseline,12,1,0.0,0.0,0.0
15,baseline,13,1,0.0,0.0,1.0
15,baseline,14,1,0.0,0.0,0.0
15,internal,0,1,-0.013818551821133167,0.005828687133097699,0.0
15,internal,1,4,-0.019229053375021867,-0.49295166133854884,0.0
15,internal,2,5,-0.002105565648867727,0.015593088624078821,0.2
15,internal,3,1,0.007091898302245655,0.048941214306183534,1.0
15,internal,5,1,0.0019250539128677973,0.2675987290494884,1.0
15,internal,7,1,-0.00426780858298462,0.20728398750097776,1.0
15,internal,8,2,-0.0011109274090785118,-0.20132327197847033,0.0
15,internal,9,6,-0.008044004116208248,0.011258639850344698,0.6666666666666666
15,internal,10,5,-0.000781582885747284,0.009605646495087772,0.4
15,internal,11,1,-0.022507129025778016,-0.20846618109655224,0.0
15,internal,12,1,0.004408430046490032,0.12607124505385137,1.0
15,internal,13,1,-0.012584592694398359,-0.038178036178405095,0.0
15,internal,14,1,-0.011832358509086002,-0.15054874742582536,0.0
15,local,0,1,-0.01698400373049102,-0.06977850098527472,0.0
15,local,1,4,-0.01948353325891013,-0.38621057075930654,0.25
15,local,2,5,0.004022516619507116,0.1762250795998495,0.8
15,local,3,1,0.006076951848587367,-0.026614768440070546,1.0
15,local,5,1,-0.019449188426918368,0.4840436559922459,1.0
15,local,7,1,0.008294984026715444,0.4706711186808328,1.0
15,local,8,2,0.0068851431825679085,-0.014470283577667997,0.5
15,local,9,6,-0.010917262485409546,0.005300672159348263,0.6666666666666666
15,local,10,5,0.0023525381729389075,0.09231659364071398,0.6
15,local,11,1,-0.015082337114747772,-0.27948053193299194,0.0
15,local,12,1,0.004260920778432568,-0.039528650257420916,0.0
15,local,13,1,0.004401396024853536,0.3092579219461732,1.0
15,local,14,1,-0.001439835189776161,-0.237724967296572,0.0
15,turkey,0,1,-0.01108773277153971,0.06190819585923446,1.0
15,turkey,1,4,-0.017626246367475538,-0.39678296306521565,0.0
15,turkey,2,5,-0.00262783807175989,0.006250633235908687,0.2
15,turkey,3,1,0.006789198290354058,-0.06842045291364213,0.0
15,turkey,5,1,0.0012715711006392096,0.2193075856816592,1.0
15,turkey,7,1,0.0009579867593954364,0.31179613638430737,1.0
