horizon,model,raw_oos_n,nonoverlap_n,first_oos_origin,last_oos_origin,mae_log,zero_mae_log,median_baseline_mae_log,mae_skill_zero_log,mae_skill_zero_pct,mae_skill_zero_ci_low,mae_skill_zero_ci_high,mae_skill_zero_boot_se,median_ae_log,rmse_log,oos_r2_vs_zero,nonoverlap_mae_skill_zero_log,brier,frequency_brier,brier_skill_frequency,brier_skill_frequency_ci_low,brier_skill_frequency_ci_high,brier_skill_frequency_boot_se,log_loss,frequency_log_loss,accuracy,majority_accuracy,accuracy_edge_majority,balanced_accuracy,macro_f1,mcc,down_precision,flat_precision,up_precision,down_recall,flat_recall,up_recall,confusion_json,time_third_skill_min,time_third_skill_median,phase_count_n_ge_2,phase_skill_median,phase_skill_min,phase_skill_positive_share,pti_call_n,pti_call_coverage,pti_call_hit,pti_call_mean_signed_rupee,block_length_origins
10,combined,31,20,2025-08-12,2026-07-27,0.022476810379090283,0.02047933650567367,0.021228357818910932,-0.001997473873416619,-0.09753606386921918,-0.005658907129779529,0.0016104058773630152,0.0017946463476128244,0.015703090544873535,0.028659161707466175,-0.06750246385087011,-0.001253830439085675,0.585481695276936,0.6071926719706929,0.021710976693756885,-0.10198179899073641,0.15576211860473071,0.0677705572895867,0.9820672519851842,0.9847682520660815,0.5483870967741935,0.3870967741935484,0.16129032258064513,0.3984126984126984,0.525,0.23572931995135904,0.5,,0.8,0.9285714285714286,0.0,0.26666666666666666,"[[13, 0, 1], [2, 0, 0], [11, 0, 4]]",-0.0034204231926513854,-0.0015176832315300685,7,-0.0009307055511531895,-0.007758442227467979,0.42857142857142855,0,0.0,,,3
10,nonlinear,31,20,2025-08-12,2026-07-27,0.021948572621774146,0.02047933650567367,0.021228357818910932,-0.0014692361161004841,-0.0717423689821905,-0.004524468502281117,0.001521532149414382,0.0015318549853314046,0.016478506337929716,0.02843263599476911,-0.05069380186255379,-0.0008753058983952955,0.5785931879992561,0.6071926719706929,0.028599483971436978,-0.10085458197123018,0.151975663203995,0.0650977102859728,0.980001258074304,0.9847682520660815,0.5483870967741935,0.3870967741935484,0.16129032258064513,0.3984126984126984,0.525,0.23572931995135904,0.5,,0.8,0.9285714285714286,0.0,0.26666666666666666,"[[13, 0, 1], [2, 0, 0], [11, 0, 4]]",-0.0039012693560458974,-0.001519567299447168,7,-0.0014766228190538216,-0.006018328820859908,0.2857142857142857,0,0.0,,,3
15,baseline,30,16,2025-08-12,2026-07-27,0.02570231914809347,0.02570231914809347,0.026649279676550734,0.0,0.0,0.0,0.0,0.0,0.01829786696294871,0.03243893814824076,0.0,0.0,0.5933245563070764,0.5933245563070764,0.0,0.0,0.0,0.0,0.9554831481749506,0.9554831481749506,0.3333333333333333,0.3333333333333333,0.0,0.2380952380952381,0.5,-0.3932566446253667,0.38461538461538464,,0.0,0.7142857142857143,0.0,0.0,"[[10, 0, 4], [1, 0, 0], [15, 0, 0]]",0.0,0.0,5,0.0,0.0,0.0,0,0.0,,,3
15,internal,30,16,2025-08-12,2026-07-27,0.032149748950105,0.02570231914809347,0.026649279676550734,-0.006447429802011523,-0.250850118421698,-0.013421526323214361,-0.0005844791253796725,0.0031283777131512333,0.029439807844824965,0.03761300817731285,-0.344444496001701,-0.008121743586540504,0.657403782182757,0.5933245563070764,-0.06407922587568064,-0.20979536494299833,0.06435870366044606,0.06901962556593039,0.9506656414394539,0.9554831481749506,0.36666666666666664,0.3333333333333333,0.033333333333333326,0.25873015873015875,0.33415233415233414,-0.2472463278615579,0.391304347826087,,0.2857142857142857,0.6428571428571429,0.0,0.13333333333333333,"[[9, 0, 5], [1, 0, 0], [13, 0, 2]]",-0.007355326598781857,-0.006687183172158974,5,-0.002105565648867727,-0.019229053375021867,0.0,0,0.0,,,3
15,local,30,16,2025-08-12,2026-07-27,0.02995942779489601,0.02570231914809347,0.026649279676550734,-0.004257108646802543,-0.16563130440773177,-0.015949311862845816,0.0020928453807170593,0.004528419747952368,0.025836647261563095,0.0370757451728555,-0.30631080108819875,-0.005859875696306943,0.5796053954179674,0.5933245563070764,0.013719160889108866,-0.15809355313131457,0.1574382821301029,0.08061696513921256,0.9274311247937016,0.9554831481749506,0.5666666666666667,0.3333333333333333,0.23333333333333334,0.3968253968253968,0.5515970515970515,0.2115612908506114,0.5217391304347826,,0.7142857142857143,0.8571428571428571,0.0,0.3333333333333333,"[[12, 0, 2], [1, 0, 0], [10, 0, 5]]",-0.01084004310088092,-0.0021390794253071665,5,0.0023525381729389075,-0.01948353325891013,0.6,0,0.0,,,3
15,turkey,30,16,2025-08-12,2026-07-27,0.03043431597962766,0.02570231914809347,0.026649279676550734,-0.0047319968315341875,-0.1841077765889151,-0.010732054238656339,0.0007108727740184553,0.003008410853529614,0.027647669459163263,0.03644863788552317,-0.26249406969044475,-0.0057737314512263035,0.6535891388081293,0.5933245563070764,-0.06026458250105309,-0.19496044500312437,0.06764686565487532,0.06581369808476462,0.9702037513797948,0.9554831481749506,0.3,0.3333333333333333,-0.033333333333333326,0.2126984126984127,0.2638352638352638,-0.3578894166010924,0.34782608695652173,0.0,0.16666666666666666,0.5714285714285714,0.0,0.06666666666666667,"[[8, 1, 5], [1, 0, 0], [14, 0, 1]]",-0.006201730612970904,-0.004397536776657919,5,-0.00262783807175989,-0.017626246367475538,0.2,0,0.0,,,3
15,combined,30,16,2025-08-12,2026-07-27,0.026290137419059077,0.02570231914809347,0.026649279676550734,-0.0005878182709656099,-0.02287024247028746,-0.005188418354805738,0.003977028317164888,0.0024114369647513243,0.022785403818219793,0.03234553618448251,0.00575034216182535,-0.0006999757747987202,0.5762654915742992,0.5933245563070764,0.01705906473277719,-0.1489810259485733,0.15833747991075897,0.07659824411139074,0.9165901405784687,0.9554831481749506,0.5,0.3333333333333333,0.16666666666666669,0.34920634920634924,0.5031055900621118,0.08065029961576124,0.47619047619047616,0.0,0.625,0.7142857142857143,0.0,0.3333333333333333,"[[10, 1, 3], [1, 0, 0], [10, 0, 5]]",-0.0037940121287811926,-0.0006948774495321615,5,0.0034792274203395077,-0.009678296995484531,0.6,0,0.0,,,3
15,nonlinear,30,16,2025-08-12,2026-07-27,0.02681122941331703,0.02570231914809347,0.026649279676550734,-0.0011089102652235565,-0.04314436603304774,-0.005592204726742157,0.00325335352096451,0.0022914848093319707,0.022194638732026366,0.03283787717695308,-0.024747550829825604,-0.0014998671949018189,0.5801366008369164,0.5933245563070764,0.013187955470159858,-0.14028631298654118,0.15075033581721153,0.07121549394882408,0.9258918833449072,0.9554831481749506,0.5333333333333333,0.3333333333333333,0.2,0.37142857142857144,0.5441176470588235,0.1431785252343609,0.5,0.0,0.6666666666666666,0.7142857142857143,0.0,0.4,"[[10, 1, 3], [1, 0, 0], [9, 0, 6]]",-0.004586036067118148,-0.0007396067280690761,5,0.0023055555290735358,-0.00875774097235463,0.6,0,0.0,,,3
30,baseline,27,9,2025-09-10,2026-06-26,0.04283704037589725,0.04283704037589725,0.04675045936290683,0.0,0.0,0.0,0.0,0.0,0.042673141126075696,0.05008390615465349,0.0,0.0,0.5890257169432522,0.5890257169432522,0.0,0.0,0.0,0.0,0.9097157245923256,0.9097157245923256,0.25925925925925924,0.25925925925925924,0.0,0.19444444444444445,0.4117647058823529,-0.49629602754210805,0.3181818181818182,,0.0,0.5833333333333334,0.0,0.0,"[[7, 0, 5], [1, 0, 0], [14, 0, 0]]",0.0,0.0,7,0.0,0.0,0.0,0,0.0,,,4
30,internal,27,9,2025-09-10,2026-06-26,0.045292044942775805,0.04283704037589725,0.04675045936290683,-0.00245500456687856,-0.05731032175275807,-0.012162310740726264,0.006547639605103354,0.004765714464180637,0.04006715708668229,0.051130195849648924,-0.042217896223245344,-0.003727986040623396,0.5888508811817337,0.5890257169432522,0.00017483576151859997,-0.12798541924404033,0.12595684786627379,0.06581754436605111,0.8620239111565771,0.9097157245923256,0.37037037037037035,0.25925925925925924,0.1111111111111111,0.2738095238095238,0.31269841269841275,-0.23204216838059472,0.391304347826087,,0.25,0.75,0.0,0.07142857142857142,"[[9, 0, 3], [1, 0, 0], [13, 0, 1]]",-0.008064331170262234,-0.00018480930271409386,7,-0.0018848912027346204,-0.023239793800785523,0.42857142857142855,0,0.0,,,4
