origin_index,origin_date,target_end,actual,predicted,baseline,interval_half_80,alpha,train_n,quality_primary
539,2026-05-15,2026-06-29,-0.05292240145434255,0.08495279979867522,0.054248900390186386,0.04332010009114204,100.0,88,1.0
540,2026-05-16,2026-06-30,-0.047129140341550246,0.17539718326442721,0.053345980705292714,0.025912484129139303,0.1,89,1.0
541,2026-05-18,2026-07-02,-0.05505977718302743,0.16697104564492923,0.052813743607666906,0.026887892120726748,0.1,90,1.0
542,2026-05-19,2026-07-03,-0.05020869558274631,0.17385386250856744,0.05128571618109205,0.026025526139700265,0.1,92,1.0
543,2026-05-20,2026-07-04,-0.04788148623321397,0.22727855588025883,0.05028992585214301,0.025588373799951044,0.1,93,1.0
544,2026-05-22,2026-07-06,-0.05061000088641799,0.24896841830728897,0.05028992585214301,0.025588373799951044,0.1,93,1.0
545,2026-05-23,2026-07-07,-0.0455232550240837,0.23827129985693654,0.049353512645259,0.025632867069586226,0.1,94,1.0
546,2026-05-25,2026-07-09,-0.031917602968305085,0.2344196419525993,0.04841709943837499,0.02601472843060059,0.1,95,1.0
547,2026-05-26,2026-07-10,-0.03974032864951411,0.21492341018720937,0.047881486233214005,0.02717146251878124,0.1,97,0.0
548,2026-05-27,2026-07-11,-0.0500763379801762,0.16790869140537656,0.04769191010910863,0.027583765213693785,0.1,98,1.0
549,2026-05-28,2026-07-13,-0.052231192225445706,0.17127144534731986,0.04769191010910863,0.027583765213693785,0.1,98,1.0
550,2026-05-29,2026-07-13,-0.047129140341550246,0.17150225218898021,0.04750233398500326,0.028374576143833073,0.1,99,1.0
551,2026-05-30,2026-07-14,-0.03911841659547125,0.16269189316784494,0.046331365051928294,0.029202158267972397,0.1,100,1.0
552,2026-06-01,2026-07-16,-0.023408090898014846,0.14986325646125567,0.045160396118853335,0.0311586840235872,0.1,101,1.0
553,2026-06-02,2026-07-17,-0.018253440309350347,0.1364538980472069,0.036846273385966286,0.03375523204843315,0.1,103,1.0
554,2026-06-03,2026-07-18,-0.013004084423206573,0.05475647233253526,0.03641993801693587,0.05185482628351786,100.0,104,1.0
555,2026-06-04,2026-07-20,-0.007782140442054963,0.05926494643453327,0.03641993801693587,0.05185482628351786,100.0,104,1.0
556,2026-06-05,2026-07-20,-0.0026007817000573675,0.06684439464312147,0.03599360264790545,0.05032365601917043,100.0,105,1.0
557,2026-06-15,2026-07-30,0.018111749943046103,0.06114182461473906,0.035947447077224914,0.050007103221896415,100.0,106,1.0
558,2026-06-16,2026-07-31,0.00520834510713826,0.05172796960805227,0.029374608679904317,0.05684264439170689,100.0,111,1.0
559,2026-06-17,2026-08-01,0.007863736460214451,0.05509967802495709,0.02812897403667238,0.05959394455685101,100.0,112,1.0
560,2026-06-18,2026-08-03,0.020998146839773402,0.054453964208335044,0.02812897403667238,0.05959394455685101,100.0,112,1.0
561,2026-06-19,2026-08-03,0.026317308317373358,0.05305338895835532,0.02688333939344045,0.0571945189418482,100.0,113,1.0
562,2026-06-20,2026-08-04,0.0445683194798766,0.07829754328150142,0.02688333939344045,0.05517312920557199,100.0,114,1.0
563,2026-06-22,2026-08-06,0.04968342014664703,0.06810936774633741,0.02688333939344045,0.055069243885857974,100.0,115,1.0
564,2026-06-23,2026-08-07,0.060465195749935356,0.06844910390268719,0.02688333939344045,0.05744550464286783,100.0,117,1.0
565,2026-06-24,2026-08-10,0.045160396118853335,0.06986516801955503,0.026669954465135457,0.05743344392997498,100.0,118,1.0
566,2026-06-25,2026-08-10,0.047881486233214005,0.06919279381655699,0.026669954465135457,0.05743344392997498,100.0,118,1.0
567,2026-06-26,2026-08-10,0.05061000088641792,0.06048469363825163,0.026456569536830465,0.057033143477961304,100.0,119,1.0
568,2026-06-27,2026-08-11,0.047881486233214005,0.057469013220430305,0.02524488449049333,0.056651116453568004,100.0,120,1.0
