rule,horizon,eligible_n,called_n,coverage,up_calls,down_calls,flat_outcomes,raw_hit_rate_including_flat,mean_signed_log_return,median_signed_change_inr,holding_hurdle_inr,economic_hit_rate,mean_signed_net_value_inr,median_signed_net_value_inr,bootstrap_mean_signed_ci_low,bootstrap_mean_signed_ci_high,raw_one_sided_p,phase_cohort_count,nonoverlap_n_min,nonoverlap_n_median,nonoverlap_n_max,phase_mean_signed_min,phase_mean_signed_median,phase_hit_min,phase_hit_median,standardized_edge,max_shift_adjusted_p,passes_prespecified_rule_gate
rule_eight_melt,30,550,246,0.44727272727272727,151,95,25,0.6626016260162602,0.021159690162211506,800.0,900,0.5934959349593496,596.7479674796748,800.0,0.01085016634418589,0.03248558368817008,0.0004997501249375312,19,17,17.0,17,0.013838133812395825,0.01413522297628221,0.5294117647058824,0.5294117647058824,2.3123171318426445,0.046635576282478344,False
rule_eight_melt,45,526,242,0.4600760456273764,151,91,14,0.731404958677686,0.029374176022021494,900.0,1350,0.5413223140495868,765.2892561983471,800.0,0.013839783735162576,0.04568986205389335,0.0004997501249375312,19,12,12.0,12,0.02832928854557468,0.030405739356795174,0.6666666666666666,0.75,2.1666353251396884,0.07528314457028648,False
rule_eight_melt,60,503,233,0.46322067594433397,139,94,16,0.6824034334763949,0.0327127025604168,1000.0,1800,0.5450643776824035,862.6609442060086,500.0,0.013920513789899136,0.049144956623504224,0.0004997501249375312,27,8,9.0,9,0.02054718713716452,0.02622389030814294,0.4444444444444444,0.5555555555555556,1.8359414835209673,0.18254497001998668,False
rule_eight_melt,90,468,229,0.4893162393162393,138,91,2,0.6375545851528385,0.02693617458743218,1300.0,2700,0.45414847161572053,398.68995633187774,-300.0,-0.00480917726453991,0.057767495377665935,0.0544727636181909,2,7,7.0,7,-0.0024967768503677446,-0.0024967768503677446,0.5714285714285714,0.5714285714285714,1.136798814021032,0.6748834110592938,False
rule_ten_melt,5,590,270,0.4576271186440678,144,126,71,0.37777777777777777,0.0014508267114846667,0.0,150,0.5074074074074074,47.03703703703704,50.0,-0.0013132909165725838,0.004316676526151356,0.14642678660669664,5,79,80.0,80,0.0009892442726610897,0.0010716958616185336,0.35,0.35443037974683544,0.883479713764424,0.8067954696868754,False
rule_ten_melt,10,586,263,0.44880546075085326,144,119,43,0.4600760456273764,0.003672963075991861,0.0,300,0.5247148288973384,116.73003802281369,100.0,-0.0015553900261924354,0.009350689350486559,0.0864567716141929,8,43,43.5,44,0.003414925003187329,0.0036083479084119954,0.4418604651162791,0.47119450317124734,1.1630582630575512,0.670219853431046,False
rule_ten_melt,15,576,258,0.4479166666666667,144,114,38,0.5503875968992248,0.00846410541342155,200.0,450,0.6201550387596899,275.1937984496124,350.0,0.0007750704300184441,0.01637043402614824,0.013993003498250875,10,34,34.0,34,0.009227646702782437,0.009302780332891633,0.6176470588235294,0.6176470588235294,1.930854899969476,0.12991339107261826,False
rule_ten_melt,30,550,238,0.43272727272727274,145,93,24,0.6764705882352942,0.022613642502141228,900.0,900,0.6092436974789915,657.9831932773109,800.0,0.012143169107642746,0.032532757825286945,0.0004997501249375312,19,17,17.0,17,0.020379553186855748,0.020676642350742135,0.7058823529411765,0.7058823529411765,2.471204094682313,0.030646235842771485,False
rule_ten_melt,45,526,232,0.44106463878326996,142,90,14,0.7586206896551724,0.03266067983401219,900.0,1350,0.5603448275862069,918.9655172413793,950.0,0.017429634926566944,0.05003360791695238,0.0004997501249375312,19,12,12.0,12,0.02210736105154741,0.032786054802316784,0.6666666666666666,0.75,2.4090474101604564,0.038640906062624915,False
rule_ten_melt,60,503,224,0.44532803180914515,132,92,17,0.7008928571428571,0.03549731373892246,1050.0,1800,0.5580357142857143,990.1785714285714,650.0,0.01810214915537814,0.05225635115487167,0.0004997501249375312,27,8,9.0,9,0.014296761179234582,0.025487406846956304,0.4444444444444444,0.5555555555555556,1.9922227680969742,0.1252498334443704,False
