Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-09-16,344,344,344,344,0,0.00%,0,45
2025-09-17,344,344,344,344,0,0.00%,0,45
2025-09-18,344,344,344,344,0,0.00%,0,45
2025-09-19,344,344,344,344,0,0.00%,0,45
2025-09-22,344,344,344,344,0,0.00%,0,45
2025-09-23,344,344,344,344,0,0.00%,0,45
2025-09-24,344,344,344,344,0,0.00%,0,45
2025-09-25,349,349,349,349,5,+1.45%,12,48
2025-09-26,349,349,349,349,0,0.00%,0,48
2025-09-29,349,349,349,349,0,0.00%,0,48
2025-09-30,349,349,349,349,0,0.00%,0,48
2025-10-01,349,349,349,349,0,0.00%,0,48
2025-10-02,349,349,349,349,0,0.00%,0,21
2025-10-03,349,349,349,349,0,0.00%,0,21
2025-10-06,355,355,355,355,6,+1.72%,3,21
2025-10-07,355,355,355,355,0,0.00%,0,21
2025-10-08,355,355,355,355,0,0.00%,0,21
2025-10-09,355,355,355,355,0,0.00%,0,21
2025-10-10,355,355,355,355,0,0.00%,0,21
2025-10-13,350,350,350,350,-5.,-1.41%,0,21
2025-10-14,350,350,350,350,0,0.00%,0,21
2025-10-15,350,350,350,350,0,0.00%,0,21
2025-10-16,350,350,350,350,0,0.00%,0,21
2025-10-17,350,350,350,350,0,0.00%,0,21
2025-10-20,350,350,350,350,0,0.00%,0,21
2025-10-21,350,350,350,350,0,0.00%,0,21
2025-10-22,350,350,350,350,0,0.00%,0,21
2025-10-23,350,350,350,350,0,0.00%,0,21
2025-10-24,350,350,350,350,0,0.00%,0,21
2025-10-27,350,350,350,350,0,0.00%,0,21
2025-10-28,350,350,350,350,0,0.00%,0,21
2025-10-29,350,350,350,350,0,0.00%,0,21
2025-10-30,350,350,350,350,0,0.00%,0,21
2025-10-31,350,350,350,350,0,0.00%,0,12
2025-11-03,350,350,350,350,0,0.00%,0,12
2025-11-04,350,350,350,350,0,0.00%,0,12
2025-11-05,350,350,350,350,0,0.00%,0,12
2025-11-06,351,351,351,351,1,+0.29%,3,15
2025-11-07,352,352,352,352,1,+0.28%,0,15
2025-11-10,353,353,353,353,1,+0.28%,0,15
2025-11-11,354,354,354,354,1,+0.28%,0,15
2025-11-12,354,354,354,354,0,0.00%,0,15
2025-11-13,354,354,354,354,0,0.00%,4,19
2025-11-14,354,354,354,354,0,0.00%,0,19
2025-11-17,355,355,355,355,1,+0.28%,0,19
2025-11-18,355,355,355,355,0,0.00%,0,19
2025-11-19,355,355,355,355,0,0.00%,0,19
2025-11-20,355,355,355,355,0,0.00%,0,19
2025-11-21,355,355,355,355,0,0.00%,0,19
2025-11-24,356,356,356,356,1,+0.28%,11,30
2025-11-25,356,356,356,356,0,0.00%,0,30
2025-11-26,356,356,356,356,0,0.00%,0,30
2025-11-28,357,357,357,357,1,+0.28%,0,27
"Downloaded from Barchart.com as of 08-12-2026 05:44am CDT"
