factor,cadence,horizon,native_matched_n,independent_n,spearman,pearson,circular_shift_p,first_half_spearman,second_half_spearman,stable_sign,first_date,last_date,holm_adjusted_p,screen_pass
coking_coal_mom3,monthly,90,5,5,0.8999999999999998,0.8952229407039294,,,,False,2024-10-01,2026-01-01,,False
usdinr_daily_mom20,daily,10,36,5,0.6,0.36476848100272574,,,,False,2026-06-15,2026-07-28,,False
coking_coal_fixed_mom20,daily,10,35,5,-0.8999999999999998,-0.9471063919253232,,,,False,2026-06-15,2026-07-28,,False
china_hrc_fixed_mom20,daily,10,36,5,0.39999999999999997,0.4085568868801153,,,,False,2026-06-15,2026-07-28,,False
turkey_rebar_fixed_mom5,daily,60,177,5,-0.8720815992723809,-0.9630497722376227,,,,False,2025-07-10,2026-03-10,,False
turkey_rebar_fixed_mom20,daily,60,163,5,0.7,0.35202005215669224,,,,False,2025-07-31,2026-03-31,,False
turkey_rebar_scrap_spread_mom5,daily,60,177,5,-0.9999999999999999,-0.9514235878638831,,,,False,2025-07-10,2026-03-10,,False
turkey_rebar_scrap_spread_mom20,daily,60,163,5,0.49999999999999994,0.34254504719455836,,,,False,2025-07-31,2026-03-31,,False
china_hrc_fixed_mom5,daily,15,32,4,0.39999999999999997,0.11117581022536303,,,,False,2026-05-20,2026-07-15,,False
usdinr_daily_mom5,daily,15,31,3,1.0,0.8401894154312995,,,,False,2026-06-15,2026-07-15,,False
usdinr_daily_mom20,daily,15,31,3,1.0,0.7464265415501352,,,,False,2026-06-15,2026-07-15,,False
coking_coal_fixed_mom5,daily,15,30,3,0.5,0.7496983078688354,,,,False,2026-06-15,2026-07-15,,False
coking_coal_fixed_mom20,daily,15,30,3,-1.0,-0.9885125915989588,,,,False,2026-06-15,2026-07-15,,False
china_hrc_fixed_mom20,daily,15,31,3,0.5,0.8965639505213164,,,,False,2026-06-15,2026-07-15,,False
turkey_rebar_fixed_mom5,daily,90,160,3,-0.8660254037844387,-0.6359758465150707,,,,False,2025-07-10,2026-01-06,,False
turkey_rebar_fixed_mom20,daily,90,146,3,0.5,0.13864301384948793,,,,False,2025-07-31,2026-01-27,,False
turkey_rebar_scrap_spread_mom5,daily,90,160,3,-1.0,-0.7032036589380686,,,,False,2025-07-10,2026-01-06,,False
turkey_rebar_scrap_spread_mom20,daily,90,146,3,0.5,0.6315014926951564,,,,False,2025-07-31,2026-01-27,,False
usdinr_daily_mom5,daily,30,21,1,,,,,,False,2026-06-15,2026-06-15,,False
usdinr_daily_mom5,daily,45,11,1,,,,,,False,2026-06-15,2026-06-15,,False
usdinr_daily_mom20,daily,30,21,1,,,,,,False,2026-06-15,2026-06-15,,False
usdinr_daily_mom20,daily,45,11,1,,,,,,False,2026-06-15,2026-06-15,,False
coking_coal_fixed_mom5,daily,30,20,1,,,,,,False,2026-06-15,2026-06-15,,False
coking_coal_fixed_mom5,daily,45,10,1,,,,,,False,2026-06-15,2026-06-15,,False
coking_coal_fixed_mom20,daily,30,20,1,,,,,,False,2026-06-15,2026-06-15,,False
coking_coal_fixed_mom20,daily,45,10,1,,,,,,False,2026-06-15,2026-06-15,,False
china_hrc_fixed_mom5,daily,30,21,1,,,,,,False,2026-06-15,2026-06-15,,False
china_hrc_fixed_mom5,daily,45,11,1,,,,,,False,2026-06-15,2026-06-15,,False
china_hrc_fixed_mom20,daily,30,21,1,,,,,,False,2026-06-15,2026-06-15,,False
china_hrc_fixed_mom20,daily,45,11,1,,,,,,False,2026-06-15,2026-06-15,,False
usdinr_daily_mom5,daily,60,0,0,,,,,,False,,,,False
usdinr_daily_mom5,daily,90,0,0,,,,,,False,,,,False
usdinr_daily_mom20,daily,60,0,0,,,,,,False,,,,False
usdinr_daily_mom20,daily,90,0,0,,,,,,False,,,,False
coking_coal_fixed_mom5,daily,60,0,0,,,,,,False,,,,False
coking_coal_fixed_mom5,daily,90,0,0,,,,,,False,,,,False
coking_coal_fixed_mom20,daily,60,0,0,,,,,,False,,,,False
coking_coal_fixed_mom20,daily,90,0,0,,,,,,False,,,,False
china_hrc_fixed_mom5,daily,60,0,0,,,,,,False,,,,False
china_hrc_fixed_mom5,daily,90,0,0,,,,,,False,,,,False
china_hrc_fixed_mom20,daily,60,0,0,,,,,,False,,,,False
china_hrc_fixed_mom20,daily,90,0,0,,,,,,False,,,,False
