horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
45,nonlinear,19,2,-0.012064630499467963,-0.08838681956644501,0.0
45,nonlinear,21,1,-0.0020873579091808397,0.30626228710495074,1.0
45,nonlinear,22,2,-0.0005861143383360315,0.4232472784150033,1.0
45,nonlinear,23,1,0.020292219650976148,0.2912402631722467,1.0
45,nonlinear,24,2,-0.00565050552973069,0.15027303056586622,0.5
45,nonlinear,25,1,0.004117552617922571,0.13758393211977088,1.0
45,nonlinear,26,1,-0.05810666602502691,0.2590024651300004,1.0
45,nonlinear,28,1,0.009739908890592619,0.4901545955397164,1.0
45,nonlinear,29,2,0.013559398221032158,0.30798222589282664,0.5
45,nonlinear,31,2,0.007392028270716555,0.0008457375527214372,0.5
45,nonlinear,32,3,0.011733998658479277,0.22972722795095588,1.0
45,nonlinear,33,1,-0.01423519605213443,0.2945338084992734,1.0
45,nonlinear,35,1,-0.01166376354931667,0.03779577334432793,0.0
45,nonlinear,36,2,-0.006852685338956319,-0.15504884305661815,0.0
45,nonlinear,38,2,0.004256139998298547,0.3234493561327466,1.0
45,nonlinear,39,2,0.01492268066492555,0.040300527312494894,0.5
45,nonlinear,40,1,0.0319608617448889,0.30378034757785344,1.0
45,nonlinear,42,2,-0.007160909124356338,0.021449775728543896,0.5
45,nonlinear,43,2,-0.008179377617111502,0.10660760444983253,0.5
45,nonlinear,44,1,-0.030653000602926903,-0.42936461626669464,0.0
60,baseline,1,3,0.0,0.0,0.3333333333333333
60,baseline,4,1,0.0,0.0,1.0
60,baseline,5,1,0.0,0.0,0.0
60,baseline,6,1,0.0,0.0,0.0
60,baseline,8,1,0.0,0.0,0.0
60,baseline,9,1,0.0,0.0,0.0
60,baseline,10,1,0.0,0.0,0.0
60,baseline,11,1,0.0,0.0,1.0
60,baseline,12,1,0.0,0.0,0.0
60,baseline,13,1,0.0,0.0,0.0
60,baseline,15,1,0.0,0.0,0.0
60,baseline,16,1,0.0,0.0,0.0
60,baseline,17,1,0.0,0.0,0.0
60,baseline,18,1,0.0,0.0,1.0
60,baseline,19,1,0.0,0.0,1.0
60,baseline,20,1,0.0,0.0,0.0
60,baseline,22,1,0.0,0.0,0.0
60,baseline,23,1,0.0,0.0,0.0
60,baseline,24,1,0.0,0.0,0.0
60,baseline,25,1,0.0,0.0,1.0
60,baseline,26,1,0.0,0.0,0.0
60,baseline,27,1,0.0,0.0,0.0
60,baseline,29,1,0.0,0.0,0.0
60,baseline,30,1,0.0,0.0,0.0
60,baseline,31,1,0.0,0.0,0.0
60,baseline,32,1,0.0,0.0,1.0
60,baseline,33,1,0.0,0.0,0.0
60,baseline,34,1,0.0,0.0,0.0
60,baseline,36,1,0.0,0.0,1.0
60,baseline,37,1,0.0,0.0,0.0
60,baseline,38,1,0.0,0.0,0.0
60,baseline,39,1,0.0,0.0,1.0
60,baseline,40,1,0.0,0.0,0.0
60,baseline,41,1,0.0,0.0,1.0
60,baseline,43,1,0.0,0.0,1.0
60,baseline,44,1,0.0,0.0,0.0
60,baseline,45,1,0.0,0.0,0.0
60,baseline,46,1,0.0,0.0,0.0
60,baseline,47,2,0.0,0.0,0.5
60,baseline,48,1,0.0,0.0,0.0
60,baseline,50,1,0.0,0.0,1.0
60,baseline,51,1,0.0,0.0,0.0
60,baseline,52,1,0.0,0.0,1.0
60,baseline,54,3,0.0,0.0,0.3333333333333333
60,baseline,57,1,0.0,0.0,1.0
60,baseline,58,1,0.0,0.0,0.0
60,baseline,59,1,0.0,0.0,0.0
60,internal,1,3,-0.009747745983479869,0.04128534809431361,0.3333333333333333
60,internal,4,1,0.036380471857741375,0.09790557433674485,1.0
60,internal,5,1,-0.07007516577547135,-1.0155799227616265,0.0
60,internal,6,1,-0.029551319850333366,-0.3736284957958901,0.0
60,internal,8,1,-0.017154980583664707,0.21526989583230027,1.0
60,internal,9,1,-0.02151609415969654,0.05292813264952345,0.0
60,internal,10,1,0.022894162595912496,0.25761842813425384,1.0
60,internal,11,1,0.018382082849278128,0.01073344375955454,1.0
60,internal,12,1,-0.07380981822348422,-1.0470035343545345,0.0
60,internal,13,1,-0.018284283425667056,-0.23590555472829222,0.0
60,internal,15,1,-0.02710240405543931,0.20880396274991364,0.0
60,internal,16,1,-0.035620355297291795,-1.1188051252890951,0.0
60,internal,17,1,0.011800773806627182,0.18734749580088417,1.0
60,internal,18,1,-0.0027412144294067797,-0.30279423384139437,0.0
60,internal,19,1,-0.06112361650061621,0.27792162097000717,1.0
60,internal,20,1,-0.024718363092262927,-0.2685106886963553,0.0
60,internal,22,1,-0.033493980110333804,-0.05928574281133958,0.0
60,internal,23,1,-0.035674838985977605,-0.9525300597155553,0.0
60,internal,24,1,0.022135236555741088,0.2593997889335657,1.0
60,internal,25,1,0.057184867366561795,0.453917608380633,1.0
60,internal,26,1,-0.06415173310904096,-1.0709251905952608,0.0
60,internal,27,1,-0.03500123365594052,-0.3853292701657771,0.0
60,internal,29,1,-0.04213915094634526,-0.1787577170070589,0.0
60,internal,30,1,-0.03404561194393414,-0.7262067617947825,0.0
60,internal,31,1,0.027253295456427115,0.2713428562955768,1.0
60,internal,32,1,0.01848311858027228,0.06908581378879552,1.0
60,internal,33,1,-0.04838613013811295,-1.0904413356874814,0.0
60,internal,34,1,0.006320539396227374,0.12200255461920972,0.0
60,internal,36,1,-0.00029556723539905794,0.036498709573163146,1.0
60,internal,37,1,-0.05227331977726673,-1.023090154652519,0.0
60,internal,38,1,-0.011853428781989292,0.29650100675443103,1.0
60,internal,39,1,0.014311899648603243,-0.04838521349960445,0.0
60,internal,40,1,-0.021923089894812106,-0.5808310137018082,0.0
60,internal,41,1,-0.01041373851292358,-0.12446942612332967,1.0
60,internal,43,1,0.02475562086264109,0.24097297848536767,1.0
60,internal,44,1,-0.029891805238713057,0.11392902745781075,0.0
60,internal,45,1,-0.024014274579749313,-0.5617912194026171,0.0
60,internal,46,1,-0.02885255331769747,0.521219805233703,1.0
60,internal,47,2,-0.0052680625840242495,-0.30866496919090847,0.5
60,internal,48,1,-0.01712358500716013,-0.2316997581631749,0.0
60,internal,50,1,0.057585717822536346,0.2528306993853422,1.0
60,internal,51,1,-0.01913713721486565,0.232318843903081,0.0
60,internal,52,1,0.001680551065165528,0.18532905616049633,1.0
60,internal,54,3,0.0024167087890610978,0.062088576299219544,0.3333333333333333
60,internal,57,1,0.04118795882407105,0.07630445185022283,1.0
60,internal,58,1,-0.004672495798181922,0.3196439983968556,1.0
60,internal,59,1,-0.04499040033853613,-0.6687997641916554,0.0
60,local,1,3,0.003454687939201284,0.0686376975820559,0.6666666666666666
60,local,4,1,0.03876291456334413,0.1413264690421686,1.0
60,local,5,1,-0.05189240695284783,-0.9233082622579853,0.0
60,local,6,1,-0.02563126607422042,-0.6501946116524158,0.0
60,local,8,1,0.009040481871887635,0.5675189715724905,1.0
60,local,9,1,-0.016458322314401745,0.23478005631590015,1.0
60,local,10,1,0.02111417182142572,0.33247895602670124,1.0
60,local,11,1,0.00973035986297692,-0.07271774094733152,1.0
60,local,12,1,-0.06051811745059538,-1.0051820314659676,0.0
60,local,13,1,-0.01840231950960601,-0.44122829460382906,0.0
60,local,15,1,-0.007638660989201407,0.5809137179888529,1.0
60,local,16,1,-0.027224318296328487,-0.4471698174793679,0.0
60,local,17,1,0.005524709944817796,0.27129290446658166,1.0
60,local,18,1,-0.020119966297213215,-0.5236676238396563,0.0
60,local,19,1,-0.039329209986131694,0.2769173562022033,1.0
60,local,20,1,-0.002878616722119226,0.040591248595961305,0.0
60,local,22,1,-0.02463891010532339,0.2690935882774206,0.0
60,local,23,1,-0.03850144255456783,-0.7425631887160251,0.0
60,local,24,1,0.017863294319097698,0.3827802879447149,1.0
60,local,25,1,0.03766240991373804,0.4026110181259397,1.0
60,local,26,1,-0.0718894765842841,-1.0568675361203215,0.0
60,local,27,1,-0.020341908868028724,-0.2367649073417557,0.0
60,local,29,1,-0.03575426520219547,0.12373032162611297,0.0
60,local,30,1,-0.03677480402966404,-0.5057700817740898,0.0
60,local,31,1,0.026457097208232385,0.3434590598542573,1.0
60,local,32,1,0.02027231923710965,-0.24490066751417722,0.0
60,local,33,1,-0.0601302905098855,-1.0753783475786556,0.0
60,local,34,1,0.011375488617741781,0.11952511748445604,0.0
60,local,36,1,-0.005321720291527832,0.08794145805100534,1.0
60,local,37,1,-0.05548912046622879,-1.0539109639041733,0.0
60,local,38,1,-0.008196072032488039,0.3967805165507417,1.0
60,local,39,1,0.021707646992555004,-0.30009791003116393,0.0
60,local,40,1,-0.03730477007294477,-0.7022091481633097,0.0
60,local,41,1,-0.009938330893311129,-0.15248808451021212,0.0
60,local,43,1,0.004251638455188375,0.24190353065221049,1.0
60,local,44,1,-0.04074554020089033,-0.46146709958834575,0.0
60,local,45,1,-0.016188281890355538,-0.6840265216690988,0.0
60,local,46,1,-0.02888737305063361,0.520536711861955,1.0
60,local,47,2,-0.0081879621142762,-0.2411258030073815,0.5
60,local,48,1,-0.005148271008202608,-0.05405155259753247,0.0
60,local,50,1,0.08926345882792612,0.2725458823949988,1.0
60,local,51,1,-0.03714970590003859,-0.4998839020820307,0.0
60,local,52,1,0.008834356009864167,0.03438044083022612,1.0
60,local,54,3,0.007894684522870031,0.1445873031344374,0.3333333333333333
60,local,57,1,0.045079580952169886,0.09334346665158294,1.0
60,local,58,1,-0.023886521398230567,-0.3256115979807763,0.0
60,local,59,1,-0.04434375500481594,-1.0772091090420728,0.0
60,turkey,1,3,-0.004684924139532851,-0.19394246372796076,0.6666666666666666
60,turkey,4,1,0.005213349506177245,-0.9482630542830833,0.0
60,turkey,5,1,-0.04985600816586212,-0.31466191406534105,0.0
60,turkey,6,1,-0.001181663887806203,0.1510844181057578,1.0
60,turkey,8,1,0.009459459755869266,0.6586015639928825,1.0
60,turkey,9,1,0.004311009100241361,0.5466206594978471,1.0
60,turkey,10,1,0.03447751124980164,0.3183447963421725,1.0
60,turkey,11,1,0.06537848216621642,0.3914397047751433,1.0
60,turkey,12,1,-0.053425819822268975,-0.48066532666838524,0.0
60,turkey,13,1,-0.011768959536641102,-0.07881754425969989,0.0
60,turkey,15,1,0.0054172902529051326,0.7066117596199607,1.0
60,turkey,16,1,-0.013623173828388985,-0.1721868922403631,0.0
60,turkey,17,1,0.0019914226688861336,0.02880815235737666,0.0
60,turkey,18,1,0.04423496050980381,0.42586726786487883,1.0
60,turkey,19,1,-0.02469734490359779,0.24716457004131898,1.0
60,turkey,20,1,-0.04139522372314246,-0.7292282076338398,0.0
60,turkey,22,1,-0.02567123391858074,0.27296992085293303,1.0
60,turkey,23,1,-0.009322080771065416,0.06413500067217748,0.0
60,turkey,24,1,-0.007618930734305314,-0.23984031193087263,0.0
60,turkey,25,1,0.06044808348987695,0.4535417584799862,1.0
60,turkey,26,1,-0.033511496379396405,-0.12457810016351012,0.0
60,turkey,27,1,-0.02936907530815734,-0.3416648457629743,0.0
60,turkey,29,1,-0.029355970310227027,0.41041920845054053,1.0
60,turkey,30,1,-0.0018006592222033144,0.3095710615541881,1.0
60,turkey,31,1,0.014757543550119892,0.11234136137185335,1.0
60,turkey,32,1,0.04025958018631206,0.43227497799094927,1.0
60,turkey,33,1,-0.03144078330185825,-0.10504462142834947,0.0
60,turkey,34,1,0.0004890190286668712,0.03750918076659204,0.0
60,turkey,36,1,0.012777813716746314,-0.4399280664483466,0.0
60,turkey,37,1,-0.037643751285242714,-0.17883832677372768,0.0
60,turkey,38,1,-0.0015296477575314302,0.16775457601190508,1.0
60,turkey,39,1,0.02230527509333379,0.12689810898793186,1.0
60,turkey,40,1,-0.02264976625020107,-0.14561401337734536,0.0
60,turkey,41,1,-0.0022558415593192313,-0.00881772395116659,1.0
60,turkey,43,1,0.036468499856236514,0.22828073650432024,1.0
60,turkey,44,1,-0.007072920423525232,0.48325672224710836,1.0
60,turkey,45,1,-0.02653878902300199,-0.5995866031630399,0.0
60,turkey,46,1,-0.022443024535332562,0.5207534021338235,1.0
60,turkey,47,2,0.003350697469842498,-0.24540415696187934,0.0
60,turkey,48,1,-0.02208223281877557,-0.32353440772928943,0.0
60,turkey,50,1,0.07298921501160816,0.27172672279265436,1.0
60,turkey,51,1,-0.008089782691091202,0.3588789440342589,1.0
60,turkey,52,1,-0.008463198556443867,0.27218741692672127,1.0
60,turkey,54,3,-0.0030317420177109825,-0.19701342292653679,0.6666666666666666
60,turkey,57,1,0.04771482349798614,0.2169736488682397,1.0
60,turkey,58,1,0.020320940309975194,0.5325592009974367,1.0
60,turkey,59,1,-0.017469561140993878,-0.1341715204279913,0.0
60,combined,1,3,0.010661777351494518,-0.20569705367671054,0.3333333333333333
60,combined,4,1,0.021176795695558095,-0.5429940102036906,0.0
