lookback,threshold,horizon,called_n,called_hit,called_mean_signed,episode_n,episode_hit,episode_binom_p,episode_mean_signed,greedy_n,greedy_hits,greedy_hit,greedy_binom_p,greedy_mean_signed,greedy_median_signed,mbb_block,mbb_ci_low,mbb_ci_high,phase_count,phase_n_min,phase_n_median,phase_hit_min,phase_hit_median,phase_mean_min,phase_mean_median,post_n,post_hit,post_mean_signed,half1_n,half1_hit,half1_mean_signed,half2_n,half2_hit,half2_mean_signed,third1_n,third1_hit,third1_mean_signed,third2_n,third2_hit,third2_mean_signed,third3_n,third3_hit,third3_mean_signed,greedy_holm_p,episode_holm_p,max_shift_p
60,1.0,15,115,0.5826086956521739,0.00855782405345362,19,0.6842105263157895,0.08353424072265625,0.00962020216878125,17,11,0.6470588235294118,0.1661529541015625,0.007629489713833998,0.008010723746078972,15,0.0009420287307071343,0.017275688443875586,11,16,16.0,0.625,0.625,0.0073007319007959,0.007304392592130708,15,0.6,0.007279185686805001,5,0.8,0.010650646463440437,12,0.5833333333333334,0.006370674401497981,2,1.0,0.010256769916551466,9,0.5555555555555556,0.008352435336094276,7,0.7142857142857143,0.011829433063808374,1.0,1.0,0.4011996001332889
60,1.0,30,87,0.8505747126436781,0.030610368377260024,14,0.8571428571428571,0.0064697265625,0.036490549582830115,9,8,0.8888888888888888,0.01953125,0.028366240833558962,0.024227295335324237,30,0.01960669653415455,0.043884601419450754,2,9,9.0,0.8888888888888888,0.8888888888888888,0.028366240833558962,0.02850706614484719,8,0.875,0.02934782845861597,2,1.0,0.016626282805266308,7,0.8571428571428571,0.031720514555928295,1,1.0,0.020513539833102903,5,0.8,0.014184998512067268,3,1.0,0.05358184683034287,1.0,0.4075927734375,0.07130956347884039
60,1.0,45,82,0.8902439024390244,0.045668079306334985,13,0.8461538461538461,0.01123046875,0.04500162909634616,6,5,0.8333333333333334,0.109375,0.041995031925711496,0.03691036040485715,45,0.026289488919344225,0.06510942847497965,19,6,6.0,0.8333333333333334,0.8333333333333334,0.0381338553787891,0.04112922911286082,6,0.8333333333333334,0.041995031925711496,1,1.0,0.02824321231339505,5,0.8,0.04474539584817479,0,,,3,0.6666666666666666,0.01657438974355126,3,1.0,0.06917469314148635,1.0,0.66259765625,0.07864045318227257
60,1.0,60,80,0.775,0.045322294554542994,11,0.7272727272727273,0.11328125,0.03877236246622817,5,4,0.8,0.1875,0.03402456408231208,0.023048395436291017,60,0.020068980684938204,0.06954655909334595,19,5,5.0,0.6,0.8,0.02441462455397044,0.0314505259782051,5,0.8,0.03402456408231208,1,1.0,0.023048395436291017,4,0.75,0.036768606243817344,0,,,2,1.0,0.04876862371351511,3,0.6666666666666666,0.02419519099484339,1.0,1.0,0.3772075974675108
60,1.0,90,81,0.7160493827160493,0.03475901078792784,11,0.7272727272727273,0.11328125,0.03208079706915239,4,2,0.5,0.6875,0.005722947331179076,0.006681988486729665,90,0.03475901078792783,0.03475901078792784,20,3,4.0,0.5,0.5,0.003195847721598772,0.009482416672314226,4,0.5,0.005722947331179076,2,0.5,0.006681988486729665,2,0.5,-0.012548076107395518,1,0.0,-0.017566323717899283,2,1.0,0.08012670432672589,2,0.5,0.009250455826151,1.0,1.0,
60,1.25,5,101,0.45544554455445546,0.0030400029305010104,23,0.391304347826087,0.8949801921844482,-0.0012886401693121081,32,14,0.4375,0.8114572062622756,0.0006869000432567551,0.0,5,-0.0007893854687625114,0.007583079407435607,1,32,32.0,0.4375,0.4375,0.0006869000432567551,0.0006869000432567551,28,0.39285714285714285,0.0003267770615403368,8,0.5,0.0031962586798145566,24,0.4166666666666667,-0.0001495528355958454,4,0.75,0.0032077609152716844,16,0.4375,0.0037829644005291,12,0.3333333333333333,-0.0042814727237780155,1.0,1.0,0.94701766077974
60,1.25,10,94,0.4787234042553192,0.0037743208928417054,21,0.5238095238095238,0.5,0.004602564811737269,19,9,0.47368421052631576,0.6761970520019531,0.0017530405019222416,0.0,10,-0.001330789349826337,0.009658886664135398,5,18,18.0,0.47368421052631576,0.5,0.0017530405019222416,0.001991256952206149,17,0.47058823529411764,0.001659923531120664,5,0.4,0.00459389895706394,14,0.5,0.0007384481965144919,2,0.5,0.0025445347537356466,10,0.5,0.0031088109521095293,7,0.42857142857142855,-0.0004099156417205723,1.0,1.0,0.8933688770409863
60,1.25,15,88,0.5,0.005954631967460913,20,0.6,0.2517223358154297,0.00802287514963341,13,8,0.6153846153846154,0.29052734375,0.0029194062423189195,0.005277057100843781,15,-0.0016148962234785516,0.013136211075160787,7,13,13.0,0.6153846153846154,0.6153846153846154,0.0029194062423189195,0.0031158893042494366,12,0.5833333333333334,0.0027386009702228876,3,0.6666666666666666,0.011979948409315743,10,0.6,0.00020124359221987133,1,1.0,0.005089069507471293,7,0.5714285714285714,0.005415023168510579,6,0.6666666666666666,0.007335701075382467,1.0,1.0,0.8587137620793069
60,1.25,30,66,0.8484848484848485,0.026907239815636124,16,0.8125,0.0106353759765625,0.036387781631163914,7,6,0.8571428571428571,0.0625,0.022051864054397304,0.020513539833102903,30,0.02039781993437227,0.033932480593321206,1,7,7.0,0.8571428571428571,0.8571428571428571,0.022051864054397304,0.022051864054397304,6,0.8333333333333334,0.02230825142461304,2,1.0,0.016626282805266308,5,0.8,0.024222096554049704,1,1.0,0.020513539833102903,4,0.75,0.01351309051438581,3,1.0,0.05488778904445888,1.0,0.6487579345703125,0.1732755748083972
60,1.25,45,63,0.9047619047619048,0.04190771064988687,14,0.7857142857142857,0.0286865234375,0.04286108217682106,6,5,0.8333333333333334,0.109375,0.03872668775947694,0.04190653173410291,45,0.026320372722251673,0.057482333850054274,15,6,6.0,0.8333333333333334,0.8333333333333334,0.034865511212554545,0.03786088494662627,6,0.8333333333333334,0.03872668775947694,1,1.0,0.02824321231339505,5,0.8,0.04082338284869332,0,,,3,0.6666666666666666,0.022331188131332724,3,1.0,0.056881206421235765,1.0,1.0,0.07264245251582806
60,1.25,60,61,0.819672131147541,0.04600483315350217,13,0.6923076923076923,0.1334228515625,0.03783969708459349,5,4,0.8,0.1875,0.030503797383325603,0.023048395436291017,60,0.043812132363825904,0.048187439458485755,15,5,5.0,0.6,0.8,0.021388295684061774,0.028979012361193723,5,0.8,0.030503797383325603,1,1.0,0.023048395436291017,4,0.75,0.03236764787008425,0,,,2,1.0,0.04838298566642929,3,0.6666666666666666,0.01858433852792314,1.0,1.0,0.36587804065311563
60,1.25,90,62,0.6774193548387096,0.031923736997024464,13,0.6923076923076923,0.1334228515625,0.02282610500042009,4,2,0.5,0.6875,0.005722947331179076,0.006681988486729665,90,0.03192373699702445,0.03192373699702447,15,4,4.0,0.5,0.5,0.003195847721598772,0.009482416672314226,4,0.5,0.005722947331179076,2,0.5,0.006681988486729665,2,0.5,-0.012548076107395518,1,0.0,-0.017566323717899283,2,1.0,0.0635130646755373,2,0.5,0.009250455826151,1.0,1.0,
90,0.75,5,101,0.42574257425742573,0.0012756722442684306,15,0.4,0.84912109375,-0.0024826952301161285,29,12,0.41379310344827586,0.867534551769495,0.00027503725267957567,0.0,5,-0.002209202498993866,0.0052399649609438485,4,28,29.0,0.41379310344827586,0.41379310344827586,1.2143283346493797e-05,0.0001017831624773928,29,0.41379310344827586,0.00027503725267957567,5,0.4,0.0030434683583793606,24,0.4166666666666667,-0.0003017192276745465,0,,,18,0.4444444444444444,0.0014300670714069341,11,0.36363636363636365,-0.0016150115416015568,1.0,1.0,0.9703432189270244
90,0.75,10,94,0.425531914893617,0.003337321729137641,15,0.4,0.84912109375,-0.001697803233870671,18,9,0.5,0.5927352905273438,0.0042081786279838905,0.002624677943071839,10,-0.003248029659430974,0.011536776057507815,8,17,17.0,0.5,0.5294117647058824,0.003784627232947259,0.004331948587630476,18,0.5,0.0042081786279838905,4,0.5,0.006925474613535523,14,0.5,0.0034318083463977106,0,,,12,0.5833333333333334,0.006288955830854482,7,0.42857142857142855,0.0050939406307296126,1.0,1.0,0.6551149616794402
90,0.75,15,86,0.45348837209302323,0.0071677951675925946,14,0.35714285714285715,0.91021728515625,-0.0009550595692169228,12,6,0.5,0.61279296875,0.007369071396483817,0.0026385285504218906,15,-0.0032333704935698926,0.019413427104096322,11,12,12.0,0.5,0.5,0.0067337443039288715,0.007369071396483817,12,0.5,0.007369071396483817,3,0.6666666666666666,0.016950480809048492,9,0.4444444444444444,0.004175268258962258,0,,,9,0.5555555555555556,0.012398314705588801,4,0.5,0.006408547144234663,1.0,1.0,0.6607797400866378
90,0.75,30,68,0.8676470588235294,0.03168453927145973,10,0.6,0.376953125,0.009379129818117324,7,6,0.8571428571428571,0.0625,0.028049385900784967,0.030153038170687558,30,0.0131513354265638,0.05194749926119785,15,7,7.0,0.8571428571428571,0.8571428571428571,0.02696025374211935,0.029522152994908013,7,0.8571428571428571,0.028049385900784967,1,1.0,0.012739025777429714,6,0.8333333333333334,0.030601112588010848,0,,,5,0.8,0.015260269919343348,2,1.0,0.05184351517059729,1.0,1.0,0.20759746751082972
90,0.75,45,68,0.8970588235294118,0.048781649596863735,10,0.6,0.376953125,0.01602592462584405,5,4,0.8,0.1875,0.037784947963835504,0.04557750849631925,45,0.024611647096672164,0.07288160038426833,15,5,5.0,0.8,0.8,0.03315153610752862,0.036745984588414694,5,0.8,0.037784947963835504,1,1.0,0.02824321231339505,4,0.75,0.040170381876445616,0,,,3,0.6666666666666666,0.01657438974355126,2,1.0,0.07223931384468378,1.0,1.0,0.1599466844385205
